"Vendor.Name","Sum(Line.Total)","Mean(Unit.Price)","Count(NIGP.Description)","Count*(Line.Total)","Risk_Level"
"RIVERSIDE LOGISTICS",550000,1,2,2,"Low Risk"
"ROANOKE STAMP AND SEAL CO",455.34000000000015,22.12875,16,16,"Low Risk"
"ROCKY MOUNT CORD COMPANY",6610.2,0.11017,2,2,"Low Risk"
"S WALTER PACKAGING CORP",1763,4.3,2,2,"Low Risk"
"S&S ACTIVEWEAR LLC",43301.04000000001,810.6239999999997,50,50,"Low Risk"
"SAFETY STORAGE INC",100.76,50.38,2,2,"Low Risk"
"SAN MAR CORPORATION",2191970.149999976,356.84429084810733,4174,4174,"Medium Risk"
"SATISHLOH NORTH AMERICA INC",5223.499999999999,52.89266666666667,30,30,"Low Risk"
"SCHWEIZER EMBLEM CO",2500,1.25,2,2,"Low Risk"
"SEWN PRODUCTS EQUIPMENT COMPANY",794.6,13.450000000000003,20,20,"Low Risk"
"SHI INTERNATIONAL CORP-NON PUNCHOUT",179474.6,4118.833333333334,6,6,"Low Risk"
"SNAP OFFICE SUPPLIES LLC",22995.239999999994,30.67135135135136,370,370,"Low Risk"
"SOURCE PRO LLC",609173.307,90.98306845605708,842,842,"Low Risk"
"SOUTHWEST BINDING & LAMINATING",67493.82,42.67696195652174,184,184,"Low Risk"
"SPARKMAN FURNITURE SERVICES INC",709723.6599999999,4491.921898734176,158,158,"Low Risk"
"STANBEE COMPANY INC.",18780,18.78,2,2,"Low Risk"
"STATE NARROW FABRICS INC",70354,0.17928571428571433,28,28,"Low Risk"
"STERICYCLE INC",3487.5,4.65,2,2,"Low Risk"
"STILES MACHINERY",334552.32,9913.551874999997,32,32,"Low Risk"
"STRETCHLINE USA INC",27000,1.35,2,2,"Low Risk"
"SUBURBAN PROPANE LP",171.9,85.95,2,2,"Low Risk"
"SUN FABRICATORS INC",88020.35645999992,14.336867669683272,884,884,"Low Risk"
"SUPER OPTICAL INTERNATIONAL",105234.34000000003,406.39870588235283,170,170,"Low Risk"
"SUPERIOR GLOBAL SOLUTIONS INC",9216,11.52,2,2,"Low Risk"
"SUPERIOR PLUS PROPANE",1159.8000000000002,193.3,6,6,"Low Risk"
"SUPPLYONE WEYERS CAVE",29570.1,12.498666666666669,6,6,"Low Risk"
"SUSTAINABLE REFORM SOLUTIONS",121409.80000000002,20234.966666666664,6,6,"Low Risk"
"TABB TEXTILE CO INC",992131.5600000002,1.737575757575758,66,66,"Low Risk"
"TEC LIGHTING INC",1890,81,6,6,"Low Risk"
"TELETRAC NAVMAN US LTD",116370,92.4,10,10,"Low Risk"
"TEXPAK INC",6084.1,24.200000000000003,8,8,"Low Risk"
"THALHIMER HEADWEAR CORP",8352,7.25,4,4,"Low Risk"
"THE CFS GROUP LLC",4352.660000000001,135.33333333333334,24,24,"Low Risk"
"THE DESIGNTEX GROUP",70103.76,58.6636842105263,38,38,"Low Risk"
"THE HILSINGER COMPANY",2592.5,107,10,10,"Low Risk"
"THE LINCOLN ELECTRIC COMPANY",1100,110,2,2,"Low Risk"
"THE ROCKET SCIENCE GROUP LLC",1200,100,12,12,"Low Risk"
"THE SHERWIN WILLIAMS CO",20757,16.143333333333334,12,12,"Low Risk"
"THE SHERWIN-WILLIAMS CO",54147.38,276.32919999999984,50,50,"Low Risk"
"THE SUPPLY ROOM COMPANIES",13324.919999999998,28.92011494252873,174,174,"Low Risk"
"THUNDERCAT TECHNOLOGY LLC",865121.4800000001,108140.18500000001,8,8,"Low Risk"
"TOTAL PRINTING COMPANY",13822.740000000002,267.683638,10,10,"Low Risk"
"TOWNSEDGE HAREWARE",49.28,24.64,2,2,"Low Risk"
"TRANE  U.S. INC",4968.46,576.164,10,10,"Low Risk"
"TRI-CITY OFFICE PRODUCTS INC",19313.18,81.31257575757577,132,132,"Low Risk"
"TRI-STATE TECHNICAL SERVICES LLC",2109,99.75,4,4,"Low Risk"
"TRIAD TECHNOLOGY PARTNERS LLC",75590.28,11463.345,4,4,"Low Risk"
"TRIDENT PLASTICS INC",5179.392,0.00281,4,4,"Low Risk"
"TSRC - STATE OF VA",37737.45999999996,30.73620567375888,564,564,"Low Risk"
"TSRC - VSU",4243.389999999999,22.835736842105266,76,76,"Low Risk"
"TSRC- FRANK PARSONS",0,19.15,2,2,"Low Risk"
"TURBON USA INC",1937155.082000002,33.22001659276024,4420,4420,"Medium Risk"
"ULINE INC",35352.039999999986,108.59391304347828,92,92,"Low Risk"
"ULTRAFABRICS INC",900.8,56.3,2,2,"Low Risk"
"UNINET IMAGING INC",2776.83,0.9553461111111111,36,36,"Low Risk"
"UNIPUNCH PRODUCTS, INC.",11144.5,618.2,10,10,"Low Risk"
"UNITED PARCEL SERVICE",62120.520000000004,1,12,12,"Low Risk"
"UNIVERSAL SEWING SUPPLY INC",127.98,15.665,4,4,"Low Risk"
"UPS MAIL INNOVATIONS",294657.48,1,14,14,"Low Risk"
"US BUTTON",6331.54896,0.03494,10,10,"Low Risk"
"VA INDUSTRIES F T BLIND",67030.17999999995,8.89646840148698,538,538,"Low Risk"
"VCE - VA CORRECTIONAL ENT.-VCE INK ONLY",997.5,166.25,2,2,"Low Risk"
"VEOLIA ENVIRONMENTAL SERVICES CORP",4145.860000000001,118.71708333333336,24,24,"Low Risk"
